Ccode,Dcode,SchoolID,CharterNumber,CharterName,ReportType,ReportLevel,FundUsed,K12ADA
"01","10017","0112607","0811      ","Envision Academy for Arts & Technology                                                              ","ALT Form                                                                                            ","School",,3.5531000000000000e+02
"01","10017","0123968","1284      ","Community School for Creative Education                                                             ","ALT Form                                                                                            ","School",,2.2728999999999999e+02
"01","10017","0124172","1296      ","Yu Ming Charter                                                                                     ","ALT Form                                                                                            ","School",,4.3526999999999998e+02
"01","10017","0125567","1383      ","Urban Montessori Charter                                                                            ","ALT Form                                                                                            ","School",,3.9635000000000002e+02
"01","10017","0131581","1707      ","Oakland Unity Middle                                                                                ","ALT Form                                                                                            ","School",,1.6941999999999999e+02
"01","10017","0136101","1881      ","Connecting Waters Charter - East Bay                                                                ","ALT Form                                                                                            ","School",,3.5047000000000003e+02
"01","10017","0136226","1888      ","Opportunity Academy                                                                                 ","SACS                                                                                                ","COE","09 Charter Spec. Revenue",8.1980000000000004e+01
"01","10017","0137448","1908      ","Aurum Preparatory Academy                                                                           ","ALT Form                                                                                            ","School",,7.8700000000000003e+01
"01","10017","6001788","0740      ","Cox Academy                                                                                         ","ALT Form                                                                                            ","School",,5.7366999999999996e+02
"01","10017","6002000","1464      ","Lazear Charter Academy                                                                              ","ALT Form                                                                                            ","School",,4.4517000000000002e+02
"01","61119","0119222","1066      ","Nea Community Learning Center                                                                       ","ALT Form                                                                                            ","School",,5.5730999999999995e+02
"01","61119","0122085","1181      ","The Academy of Alameda                                                                              ","ALT Form                                                                                            ","School",,4.6929000000000002e+02
"01","61119","0130609","0352      ","Alameda Community Learning Center                                                                   ","ALT Form                                                                                            ","School",,3.3206000000000000e+02
"01","61119","0130625","0398      ","Alternatives in Action                                                                              ","ALT Form                                                                                            ","School",,1.6952000000000001e+02
"01","61119","0131805","1718      ","The Academy of Alameda Elementary                                                                   ","ALT Form                                                                                            ","School",,2.3831999999999999e+02
"01","61143","0122697","1255      ","REALM Charter High                                                                                  ","Did not report                                                                                      ",,,0.0000000000000000e+00
"01","61143","0138552","1255      ","REALM Charter                                                                                       ","Did not report                                                                                      ",,,3.6175000000000000e+02
"01","61176","0130534","0152      ","Circle of Independent Learning                                                                      ","SACS                                                                                                ","District","09 Charter Spec. Revenue",3.6857999999999998e+02
"01","61192","0108670","0684      ","Leadership Public Schools - Hayward                                                                 ","ALT Form                                                                                            ","School",,5.5745000000000005e+02
"01","61192","0119248","1067      ","Golden Oak Montessori of Hayward                                                                    ","ALT Form                                                                                            ","School",,2.3744999999999999e+02
"01","61192","0127696","1514      ","Knowledge Enlightens You (KEY) Academy                                                              ","ALT Form                                                                                            ","School",,5.2574000000000001e+02
"01","61192","0127944","1543      ","Silver Oak High Public Montessori Charter                                                           ","ALT Form                                                                                            ","School",,2.0719000000000000e+02
"01","61192","0137646","0836      ","Impact Academy of Arts & Technology                                                                 ","ALT Form                                                                                            ","School",,7.9644000000000005e+02
"01","61259","0100065","0510      ","Oakland Unity High                                                                                  ","ALT Form                                                                                            ","School",,3.3711000000000001e+02
"01","61259","0106906","0661      ","Bay Area Technology                                                                                 ","ALT Form                                                                                            ","School",,2.8204000000000002e+02
"01","61259","0108944","0700      ","Lighthouse Community Charter High                                                                   ","ALT Form                                                                                            ","School",,2.5681000000000000e+02
"01","61259","0109819","0726      ","Aspire Berkley Maynard Academy                                                                      ","ALT Form                                                                                            ","School",,5.5251999999999998e+02
"01","61259","0111476","0780      ","Achieve Academy                                                                                     ","ALT Form                                                                                            ","School",,6.1204999999999995e+02
"01","61259","0111856","0765      ","American Indian Public High                                                                         ","ALT Form                                                                                            ","School",,3.7938999999999999e+02
"01","61259","0114363","0882      ","American Indian Public Charter II                                                                   ","ALT Form                                                                                            ","School",,7.6874000000000001e+02
"01","61259","0114868","0883      ","Oakland Charter High                                                                                ","ALT Form                                                                                            ","School",,4.3533999999999997e+02
"01","61259","0115014","0938      ","KIPP Bridge Academy                                                                                 ","ALT Form                                                                                            ","School",,4.6764999999999998e+02
"01","61259","0115238","0837      ","ARISE High                                                                                          ","ALT Form                                                                                            ","School",,2.9357999999999998e+02
"01","61259","0115386","0948      ","Civicorps Corpsmember Academy                                                                       ","ALT Form                                                                                            ","School",,5.0939999999999998e+01
"01","61259","0115592","1442      ","Learning Without Limits                                                                             ","ALT Form                                                                                            ","School",,4.0450999999999999e+02
"01","61259","0118224","1023      ","Aspire Golden State College Preparatory Academy                                                     ","ALT Form                                                                                            ","School",,5.8282000000000005e+02
"01","61259","0120188","1115      ","Aspire ERES Academy                                                                                 ","ALT Form                                                                                            ","School",,2.2015000000000001e+02
"01","61259","0123711","1271      ","Vincent Academy                                                                                     ","ALT Form                                                                                            ","School",,2.1391999999999999e+02
"01","61259","0126748","1449      ","LPS Oakland R & D Campus                                                                            ","ALT Form                                                                                            ","School",,4.3654000000000002e+02
"01","61259","0128413","1577      ","Aspire College Academy                                                                              ","ALT Form                                                                                            ","School",,2.6451999999999998e+02
"01","61259","0129403","1632      ","Epic Charter                                                                                        ","ALT Form                                                                                            ","School",,2.8960000000000002e+02
"01","61259","0129635","1661      ","Downtown Charter Academy                                                                            ","ALT Form                                                                                            ","School",,2.9338000000000000e+02
"01","61259","0129932","1620      ","East Bay Innovation Academy                                                                         ","ALT Form                                                                                            ","School",,5.3102999999999997e+02
"01","61259","0130617","0349      ","Oakland Military Institute, College Preparatory Academy                                             ","ALT Form                                                                                            ","School",,7.0013000000000000e+02
"01","61259","0130633","0413      ","Lighthouse Community Charter                                                                        ","ALT Form                                                                                            ","School",,4.7944999999999999e+02
"01","61259","0130666","0465      ","Aspire Lionel Wilson College Preparatory Academy                                                    ","ALT Form                                                                                            ","School",,5.0519999999999999e+02
"01","61259","0130732","1663      ","Aspire Triumph Technology Academy                                                                   ","ALT Form                                                                                            ","School",,2.5792000000000002e+02
"01","61259","0131896","1713      ","Roses in Concrete                                                                                   ","ALT Form                                                                                            ","School",,3.2070999999999998e+02
"01","61259","0132514","1708      ","Francophone Charter School of Oakland                                                               ","ALT Form                                                                                            ","School",,2.1418000000000001e+02
"01","61259","0132555","1745      ","Conservatory of Vocal/Instrumental Arts High                                                        ","ALT Form                                                                                            ","School",,7.0819999999999993e+01
"01","61259","0134015","1783      ","Lodestar: A Lighthouse Community Charter Public                                                     ","ALT Form                                                                                            ","School",,4.8439999999999998e+02
"01","61259","3030772","0340      ","Oakland School for the Arts                                                                         ","ALT Form                                                                                            ","School",,7.0088000000000000e+02
"01","61259","6111660","0014      ","Oakland Charter Academy                                                                             ","ALT Form                                                                                            ","School",,2.2668000000000001e+02
"01","61259","6113807","0106      ","American Indian Public Charter                                                                      ","ALT Form                                                                                            ","School",,1.5565000000000001e+02
"01","61259","6117568","0252      ","Aspire Monarch Academy                                                                              ","ALT Form                                                                                            ","School",,3.9830000000000001e+02
"01","61259","6117972","0302      ","North Oakland Community Charter                                                                     ","ALT Form                                                                                            ","School",,1.5619999999999999e+02
"01","61259","6118608","1443      ","ASCEND                                                                                              ","ALT Form                                                                                            ","School",,4.6450000000000000e+02
