Code,Title
"01  ","General Fund/County School Service Fund                                                                                                                                                                                                                   "
"09  ","Charter Schools Special Revenue Fund                                                                                                                                                                                                                      "
"10  ","Special Education Pass-Through Fund                                                                                                                                                                                                                       "
"11  ","Adult Education Fund                                                                                                                                                                                                                                      "
"12  ","Child Development Fund                                                                                                                                                                                                                                    "
"13  ","Cafeteria Special Revenue Fund                                                                                                                                                                                                                            "
"14  ","Deferred Maintenance Fund                                                                                                                                                                                                                                 "
"15  ","Pupil Transportation Equipment Fund                                                                                                                                                                                                                       "
"16  ","Forest Reserve Fund                                                                                                                                                                                                                                       "
"17  ","Special Reserve Fund for Other Than Capital Outlay Projects                                                                                                                                                                                               "
"18  ","School Bus Emissions Reduction Fund                                                                                                                                                                                                                       "
"19  ","Foundation Special Revenue Fund                                                                                                                                                                                                                           "
"20  ","Special Reserve Fund for Postemployment Benefits                                                                                                                                                                                                          "
"21  ","Building Fund                                                                                                                                                                                                                                             "
"25  ","Capital Facilities Fund                                                                                                                                                                                                                                   "
"30  ","State School Building Lease-Purchase Fund                                                                                                                                                                                                                 "
"35  ","County School Facilities Fund                                                                                                                                                                                                                             "
"40  ","Special Reserve Fund for Capital Outlay Projects                                                                                                                                                                                                          "
"49  ","Capital Project Fund for Blended Component Units                                                                                                                                                                                                          "
"51  ","Bond Interest and Redemption Fund                                                                                                                                                                                                                         "
"52  ","Debt Service Fund for Blended Component Units                                                                                                                                                                                                             "
"53  ","Tax Override Fund                                                                                                                                                                                                                                         "
"56  ","Debt Service Fund                                                                                                                                                                                                                                         "
"57  ","Foundation Permanent Fund                                                                                                                                                                                                                                 "
"61  ","Cafeteria Enterprise Fund                                                                                                                                                                                                                                 "
"62  ","Charter Schools Enterprise Fund                                                                                                                                                                                                                           "
"63  ","Other Enterprise Fund                                                                                                                                                                                                                                     "
"66  ","Warehouse Revolving Fund                                                                                                                                                                                                                                  "
"67  ","Self-Insurance Fund                                                                                                                                                                                                                                       "
"71  ","Retiree Benefit Fund                                                                                                                                                                                                                                      "
"73  ","Foundation Private-Purpose Trust Fund                                                                                                                                                                                                                     "
"76  ","Warrant/Pass-Through Fund                                                                                                                                                                                                                                 "
"95  ","Student Body Fund                                                                                                                                                                                                                                         "
