Ccode,Dcode,Dname,Dtype,K12ADA
"01","10017","Alameda County Office of Education                                         ","CO OFFICE      ",0.0000000000000000e+00
"01","40402","Mission Valley ROC/P                                                       ","JPA            ",0.0000000000000000e+00
"01","40410","Tri-Valley ROP JPA                                                         ","JPA            ",0.0000000000000000e+00
"01","40428","Eden Area ROP JPA                                                          ","JPA            ",0.0000000000000000e+00
"01","61119","Alameda Unified                                                            ","UNIFIED        ",8.9688500000000004e+03
"01","61127","Albany City Unified                                                        ","UNIFIED        ",3.5445200000000000e+03
"01","61143","Berkeley Unified                                                           ","UNIFIED        ",9.3564400000000005e+03
"01","61150","Castro Valley Unified                                                      ","UNIFIED        ",8.9402000000000007e+03
"01","61168","Emery Unified                                                              ","UNIFIED        ",6.8182000000000005e+02
"01","61176","Fremont Unified                                                            ","UNIFIED        ",3.3966730000000003e+04
"01","61192","Hayward Unified                                                            ","UNIFIED        ",1.8755200000000001e+04
"01","61200","Livermore Valley Joint Unified                                             ","UNIFIED        ",1.3142040000000001e+04
"01","61218","Mountain House Elementary                                                  ","ELEMENTARY     ",1.4930000000000000e+01
"01","61234","Newark Unified                                                             ","UNIFIED        ",5.5528599999999997e+03
"01","61242","New Haven Unified                                                          ","UNIFIED        ",1.0017510000000000e+04
"01","61259","Oakland Unified                                                            ","UNIFIED        ",3.2801870000000003e+04
"01","61275","Piedmont City Unified                                                      ","UNIFIED        ",2.5219400000000001e+03
"01","61291","San Leandro Unified                                                        ","UNIFIED        ",8.4725200000000004e+03
"01","61309","San Lorenzo Unified                                                        ","UNIFIED        ",9.6438199999999997e+03
"01","75093","Dublin Unified                                                             ","UNIFIED        ",1.1769850000000000e+04
"01","75101","Pleasanton Unified                                                         ","UNIFIED        ",1.4502940000000001e+04
"01","75119","Sunol Glen Unified                                                         ","UNIFIED        ",2.8716000000000003e+02
"02","10025","Alpine County Office of Education                                          ","CO OFFICE      ",0.0000000000000000e+00
"02","61333","Alpine County Unified                                                      ","UNIFIED        ",7.4469999999999999e+01
"03","10033","Amador County Office of Education                                          ","CO OFFICE      ",0.0000000000000000e+00
"03","73981","Amador County Unified                                                      ","UNIFIED        ",3.7753099999999999e+03
"04","10041","Butte County Office of Education                                           ","CO OFFICE      ",0.0000000000000000e+00
"04","61382","Bangor Union Elementary                                                    ","ELEMENTARY     ",1.0054000000000001e+02
"04","61408","Biggs Unified                                                              ","UNIFIED        ",5.8023000000000002e+02
"04","61424","Chico Unified                                                              ","UNIFIED        ",1.1783230000000000e+04
"04","61432","Durham Unified                                                             ","UNIFIED        ",9.9778999999999996e+02
"04","61440","Feather Falls Union Elementary                                             ","ELEMENTARY     ",8.5800000000000001e+00
"04","61457","Golden Feather Union Elementary                                            ","ELEMENTARY     ",5.2229999999999997e+01
"04","61499","Manzanita Elementary                                                       ","ELEMENTARY     ",3.0795999999999998e+02
"04","61507","Oroville City Elementary                                                   ","ELEMENTARY     ",2.1529699999999998e+03
"04","61515","Oroville Union High                                                        ","HIGH           ",1.9810000000000000e+03
"04","61523","Palermo Union Elementary                                                   ","ELEMENTARY     ",1.2540100000000000e+03
"04","61531","Paradise Unified                                                           ","UNIFIED        ",3.1528499999999999e+03
"04","61549","Thermalito Union Elementary                                                ","ELEMENTARY     ",1.4961800000000001e+03
"04","73379","Pioneer Union Elementary                                                   ","ELEMENTARY     ",5.6939999999999998e+01
"04","75507","Gridley Unified                                                            ","UNIFIED        ",1.9810599999999999e+03
