Code,Title
"0000","Unrestricted                                                                                                                                                                                                                                              "
"1100","Lottery: Unrestricted                                                                                                                                                                                                                                     "
"1300","Class Size Reduction, Grades K-3 (12-13)                                                                                                                                                                                                                  "
"1400","Education Protection Account                                                                                                                                                                                                                              "
"2420","County Community Schools (Education Code sections 1980-1982.3) (12-13)                                                                                                                                                                                    "
"3010","ESSA: Title I, Part A, Basic Grants Low-Income and Neglected                                                                                                                                                                                              "
"3020","NCLB: Title I, Basic School Support (17-18)                                                                                                                                                                                                               "
"3025","ESSA: Title I, Part D, Local Delinquent Programs                                                                                                                                                                                                          "
"3040","ESSA: Title I, Part C, Migrant Ed Mini Corps Project (Regular and Summer)                                                                                                                                                                                 "
"3041","NCLB: Title I, Migrant Ed Mini Corps Summer Project (17-18)                                                                                                                                                                                               "
"3045","NCLB: Title I, Migrant Ed Statewide PASS Project (17-18)                                                                                                                                                                                                  "
"3060","ESSA: Title I, Part C, Migrant Ed (Regular and Summer Program)                                                                                                                                                                                            "
"3061","ESSA: Title I, Migrant Ed Summer Program                                                                                                                                                                                                                  "
"3105","NCLB: Title I, Even Start Family Literacy (13-14)                                                                                                                                                                                                         "
"3110","ESSA: Title I, Part C,  Migrant Education (MESRP)                                                                                                                                                                                                         "
"3150","ESSA: Title I, Part A, Schoolwide Programs (SWP)                                                                                                                                                                                                          "
"3155","ESSA: Consolidated Administrative Funds                                                                                                                                                                                                                   "
"3177","NCLB: Title I, Part A, Prevention of Local Educational Agency Intervention Program (17-18)                                                                                                                                                                "
"3180","NCLB: Title I, School Improvement Grant                                                                                                                                                                                                                   "
"3181","NCLB: ARRA Title I, School Improvement Grant (17-18)                                                                                                                                                                                                      "
"3182","ESSA: School Improvement Funding for LEAs                                                                                                                                                                                                                 "
"3183","ESSA: School Improvement Funding for COEs                                                                                                                                                                                                                 "
"3185","NCLB: Title I, Part A, Program Improvement LEA Corrective Action Resources (17-18)                                                                                                                                                                        "
"3310","Special Ed: IDEA Basic Local Assistance Entitlement, Part B, Sec 611                                                                                                                                                                                      "
"3311","Special Ed: IDEA Local Assistance, Part B, Sec 611, Private School ISPs                                                                                                                                                                                   "
"3312","Special Ed: IDEA Local Assistance, Part B, Sec 611, Early Intervening Services                                                                                                                                                                            "
"3313","Special Ed: ARRA IDEA Part B, Sec 611, Basic Local Assistance (11-12)                                                                                                                                                                                     "
"3315","Special Ed: IDEA Preschool Grants, Part B, Sec 619                                                                                                                                                                                                        "
"3316","Special Ed: IDEA Preschool Accountability Grants, Part B, Sec 619                                                                                                                                                                                         "
"3318","Special Ed: IDEA Part B, Sec 619, Preschool Grants Early Intervening Services                                                                                                                                                                             "
"3320","Special Ed: IDEA Preschool Local Entitlement, Part B, Sec 611 (17-18)                                                                                                                                                                                     "
"3326","Special Ed: IDEA Preschool Capacity Building, Part B, Sec 619                                                                                                                                                                                             "
"3327","Special Ed: IDEA Mental Health Allocation Plan, Part B, Sec 611                                                                                                                                                                                           "
"3332","Special Ed: IDEA Part B, Sec 611, Preschool Local Entitlement Early Intervening Services (17-18)                                                                                                                                                          "
"3345","Special Ed: IDEA Preschool Staff Development, Part B, Sec 619                                                                                                                                                                                             "
"3372","Special Ed: State Improvement Grant, Improving Special Ed Systems                                                                                                                                                                                         "
"3385","Special Ed: IDEA Early Intervention Grants                                                                                                                                                                                                                "
"3386","Special Ed: IDEA Quality Assurance & Focused Monitoring                                                                                                                                                                                                   "
"3395","Special Ed: Alternate Dispute Resolution                                                                                                                                                                                                                  "
"3400","Special Ed: Disabled Children State Institutions (17-18)                                                                                                                                                                                                  "
"3410","Department of Rehab: Workability II, Transition Partnership                                                                                                                                                                                               "
"3411","Department of Rehab: Bridges to Youth Self-Sufficiency                                                                                                                                                                                                    "
